source,content
1872 Rimbaud Les Illuminations,"L’air et le monde point cherchés. La vie.  â€” Était-ce donc ceci ?  â€” Et le rêve fraîchit.  II L’éclairage revient à  l’arbre de bâtisse. Des deux extrémités de la salle, décors quelconques, des élévations harmoniques se joignent. La muraille en face du veilleur est une succession psychologique de coupes, de frises, de bandes atmosphériques et d’accidents géologiques. â€” Rêve intense et rapide de groupes sentimentaux avec des êtres de tous les caractères parmi toutes les apparences.  III Les lampes et les tapis de la veillée font le bruit des vagues, la nuit, le long de la coque et autour du steerage.  La mer de la veillée, telle que les seins d’Amélie.  Les tapisseries, jusqu’à  mi-hauteur, des taillis de dentelle, teinte d’émeraude, où se jettent les tourterelles de la veillée. La plaque du foyer noir, de réels soleils des grèves : ah ! puits des magies ; seule vue d’aurore, cette fois.  NOCTURNE VULGAIRE"
1901 Zola Travail,"Mais les applications étaient sans nombre, chaque jour naissait un bienfait nouveau. Jordan avait inventé des lampes d’une puissance de lumière telle, que deux ou trois suffisaient à  éclairer une avenue. Le rêve d’allumer la nuit, un autre soleil, au-dessus de Beauclair, allait être réalisé sà»rement. On venait aussi de construire des serres admirables, immenses, où, grâce à  un système perfectionné de chauffage, des fleurs, des légumes, des fruits, poussaient en toutes saisons. La ville en regorgeait, on les distribuait à  pleines mains, il n’y avait désormais plus d’hiver, comme il n’y avait plus de nuit. Et les transports, la locomotion, la simple circulation par les rues populeuses, se trouvaient de plus en plus facilités, grâce à  cette force donnée pour rien, appliquée à  une infinité de véhicules, bicyclettes, petites voitures, chariots, trains de plusieurs wagons."
1859 Dickens Le conte des deux cités,"Les douces odeurs de la nuit d’été montaient tout autour de lui, et montaient, comme tombe la pluie, avec impartialité, vers le groupe poussiéreux, usé par le travail, déguenillé, qui entourait la fontaine non loin de là , vers ce groupe à  qui le cantonnier, à  l’aide de sa casquette bleue sans laquelle il n’était rien, racontait encore à  ses amis l’histoire de l’homme qui ressemblait à  un spectre, aussi longtemps qu’ils viendraient la supporter. Peu à  peu, quand ils l’avaient assez entendue, ils s’en allaient un par un, et des lumières brillaient aux petites fenêtres ; lesquelles lumières, à  mesure que les fenêtres redevenaient sombres et que plus d’étoiles se montraient au ciel, semblaient ainsi avoir été lancées dans le ciel plutà´t que d’avoir été éteintes.  L’ombre d’une grande maison et des arbres penchés sur elle couvrait à  ce moment Monsieur le Marquis, puis l’ombre fut remplacée par la lumière d’un flambeau quand la voiture s’arrêta et que la grande porte du château s’ouvrit.  â€” Est-ce que monsieur Charles que j’attends est arrivé d’Angleterre ?  â€” Pas encore, Monseigneur.  CHAPITRE IX"
1862 Hugo Les Misérables,"[VII]  Quiconque a médité sait que la méditation a ses effarements, et que ces effarements viennent parfois d'une cause physique, d'un phénomène externe, d'une situation donnée de la création visible.  Mais rien n'est sans signification.  A de certaines heures, le tâtonnement de la pensée devient lugubre. La nuit est une de ces heures-là ; surtout la nuit d'hiver. Il semble qu'il y ait dans le soleil couché quelque chose de la disparition de Dieu. Obtenebratus est sol, crie Isaïe. Où donc est la lumière ? Le songeur nocturne éprouve une sensation d'abandon et d'oubli, | croit sentir du vide | et regarde l'espace avec un tressaillement d'orphelin. Pas d'étoiles ; tout ce qui pouvait ressembler à de la clarté s'est effacé au zénith derrière les nuages, voiles d'Isis. Partout la noirceur. Voilà la nature aveuglée, chose sinistre !  Malheur aux intelligences faibles ! Ces crépuscules, ces brumes, ces troubles de forme et de contour sont pleins d'un frisson vague et malsain.  Les branches de la forêt chuchotent lugubrement. C'est l'heure où les bêtes de la trahison s'éveillent ; la paupière du mal s'entr'ouvre ; les yeux du guetapens flamboient. A l'obscurcissement de la matière répond on ne sait quelle anxiété morale."
1855 Baudelaire Les Fleurs du Mal,"soleils mouillés ï»¿De ces ciels brouillés  Pour mon esprit ont les charmes ï»¿Si mystérieux ï»¿De tes traîtres yeux,  Brillant à  travers leurs larmes.  Là , tout n’est qu’ordre et beauté,  Luxe, calme et volupté.  ï»¿Des meubles luisants,  ï»¿Polis par les ans,  Décoreraient notre chambre; ï»¿Les plus rares fleurs ï»¿Mêlant leurs odeurs Aux vagues senteurs de l’ambre,  ï»¿Les riches plafonds,  ï»¿Les miroirs profonds,  La splendeur orientale,  ï»¿Tout y parlerait ï»¿à€ l’âme en secret Sa douce langue natale.  Là , tout n’est qu’ordre et beauté,  Luxe, calme et volupté.  ï»¿Vois sur ces canaux ï»¿Dormir ces vaisseaux Dont l’humeur est vagabonde; ï»¿C’est pour assouvir ï»¿Ton moindre désir Qu’ils viennent du bout du monde.  ï»¿â€” Les soleils couchants ï»¿Revêtent les champs,  Les canaux, la ville entière,  ï»¿D’hyacinthe et d’or; ï»¿Le monde s’endort Dans une chaude lumière.  Là , tout n’est qu’ordre et beauté,  Luxe, calme et volupté.   Pouvons-nous étouffer le vieux, le long Remords,  ï»¿Qui vit, s’agite et se tortille,  Et se nourrit de nous comme le ver des morts,  ï»¿Comme du chêne la chenille? Pouvons-nous étouffer l’implacable Remords?  Dans quel philtre, dans quel vin, dans quelle tisane,  ï»¿Noierons-nous ce vieil ennemi,  Destructeur et gourmand comme la courtisane,  ï»¿Patient comme la fourmi? Dans quel philtre? â€” dans quel vin? â€” dans quelle tisane?   Dis-le, belle sorcière, oh! dis, si tu le sais,  ï»¿à€"
1878 Zola Une page d amour,"de ces myriades de soleils, de ces atomes planétaires que l’œil humain ne peut découvrir. Les édifices avaient sombré, pas un falot n’était attaché à  leur mâture. Par moments, on aurait pu croire à  quelque fête géante, à  un monument cyclopéen illuminé, avec ses escaliers, ses rampes, ses fenêtres, ses frontons, ses terrasses, son monde de pierre, dont les lignes de lampions traceraient en traits phosphorescents l’étrange et énorme architecture. Mais la sensation qui revenait était celle d’une naissance de constellations, d’un agrandissement continu du ciel."
1869 Verne Vingt mille lieues sous les mers,"la lumière, le mouvement, la vie en un mot.  â€” Mais non pas l’air que vous respirez?  â€” Oh! je pourrais fabriquer l’air nécessaire à  ma consommation, mais c’est inutile puisque je remonte à  la surface de la mer, quand il me plaît. Cependant, si l’électricité ne me fournit pas l’air respirable, elle manœuvre, du moins, des pompes puissantes qui l’emmagasinent dans des réservoirs spéciaux, ce qui me permet de prolonger, au besoin, et aussi longtemps que je le veux, mon séjour dans les couches profondes.  â€” Capitaine, répondis-je, je me contente d’admirer. Vous avez évidemment trouvé ce que les hommes trouveront sans doute un jour, la véritable puissance dynamique de l’électricité.  â€” Je ne sais s’ils la trouveront, répondit froidement le capitaine Nemo. Quoi qu’il en soit, vous connaissez déjà  la première application que j’ai faite de ce précieux agent. C’est lui qui nous éclaire avec une égalité, une continuité que n’a pas la lumière du soleil. Maintenant, regardez cette horloge; elle est électrique, et marche avec une régularité qui défie celle des meilleurs chronomètres. Je l’ai divisée en vingt-quatre heures, comme les horloges italiennes, car pour moi, il n’existe ni nuit, ni jour, ni soleil, ni lune, mais seulement cette lumière factice que j’entraîne jusqu’au fond des mers! Voyez, en ce moment, il est dix heures du matin.   â€” Parfaitement.  â€” Autre application de l’électricité. Ce"
1883 Maupassant Claire de Lune,"pâlir sous leur clarté nacrée, mystérieuse et royale, les filets de gaz, de vilain gaz sale, et les guirlandes de verres de couleur.   Je m’arrêtai sous l’Arc de Triomphe pour regarder l’avenue, la longue et admirable avenue étoilée, allant vers Paris entre deux lignes de feux, et les astres! Les astres là -haut, les astres inconnus jetés au hasard dans l’immensité où ils dessinent ces figures bizarres, qui font tant rêver, qui font tant songer.   J’entrai dans le Bois de Boulogne et j’y restai longtemps, longtemps. Un frisson singulier m’avait saisi, une émotion imprévue et puissante, une exaltation de ma pensée qui touchait à  la folie.   Je marchai longtemps, longtemps. Puis je revins.   Quelle heure était-il quand je repassai sous l’Arc de Triomphe? Je ne sais pas. La ville s’endormait, et des nuages, de gros nuages noirs s’étendaient lentement sur le ciel.   Pour la première fois je sentis qu’il allait arriver quelque chose d’étrange, de nouveau. Il me sembla qu’il faisait froid, que l’air s’épaississait, que la nuit, que ma nuit bien-aimée, devenait lourde sur mon cœur. L’avenue était déserte, maintenant. Seuls, deux sergents de ville se promenaient auprès de la station des fiacres, et, sur la chaussée à  peine éclairée par les becs de gaz qui paraissaient mourants, une file de voitures de légumes allait aux Halles. Elles allaient lentement, chargées de carottes, de navets et de choux. Les conducteurs"
1867 Zola Thérèse Raquin,"leur boutique, une lampe munie d’un abat-jour, qu’ils posent sur un coin de leur comptoir, et les passants peuvent alors distinguer ce qu’il y a au fond de ces trous où la nuit habite pendant le jour. Sur la ligne noirâtre des devantures, les vitres d’un cartonnier flamboient: deux lampes à  schiste trouent l’ombre de deux flammes jaunes. Et, de l’autre cà´té, une bougie, plantée au milieu d’un verre à  quinquet, met des étoiles de lumière dans la boîte de bijoux faux. La marchande sommeille au fond de son armoire, les mains cachées sous son châle.  Il y a quelques années, en face de cette marchande, se trouvait une boutique dont les boiseries d’un vert bouteille suaient l’humidité par toutes leurs fentes. L’enseigne, faite d’une planche étroite et longue, portait, en lettres noires, le mot: Mercerie, et sur une des vitres de la porte était écrit un nom de femme: Thérèse Raquin, en caractères rouges. à€ droite et à  gauche s’enfonà§aient des vitrines profondes, tapissées de papier bleu.  Pendant le jour, le regard ne pouvait distinguer que l’étalage, dans un clair-obscur adouci.  D’un cà´té, il y avait un peu de lingerie: des bonnets de tulle tuyautés à  deux et trois francs pièce, des manches et des cols de mousseline; puis des tricots, des bas, des chaussettes, des bretelles. Chaque objet, jauni et fripé, était lamentablement pendu à  un crochet de fil de fer. La vitrine, de haut en bas, se trouvait ainsi emplie de loques"
1859 Dickens Le conte des deux cités,"et les armes, car les haches et les couteaux du coutelier étaient aiguisés et brillants, ou le marteau du forgeron était lourd et la réserve de l’armurier meurtrière. Les pierres irrégulières du sol, avec leurs nombreuses anfractuosités pleines de boue et d’eau, allaient jusqu’aux seuils des maisons, la rue n’ayant pas de trottoirs. Le ruisseau coulait au milieu de la chaussée â€“ quand il coulait ! ce qui n’arrivait qu’après les fortes pluies, et alors il coulait si bien que par bonds petits et étranges, il allait jusqu’aux maisons. En travers des rues, et à  de grands intervalles, une malheureuse lampe était suspendue par une corde à  une poulie. La nuit, quand l’allumeur les avait descendues, allumées et remontées, une peu abondante forêt de lumignons fumeux se balanà§ait au-dessus de vos têtes, comme s’ils avaient été sur la mer. En vérité, les lumignons étaient sur la mer et l’équipage et le bateau attendaient la tempête."
